"","Region","Date","Age_group","Cases"
"1","Region Sud Ouest",2019-01-01,"Age_L5",2391
"2","Region Sud Ouest",2019-02-01,"Age_L5",2137
"3","Region Sud Ouest",2019-03-01,"Age_L5",2360
"4","Region Sud Ouest",2019-04-01,"Age_L5",2727
"5","Region Sud Ouest",2019-05-01,"Age_L5",2703
"6","Region Sud Ouest",2019-06-01,"Age_L5",2550
"7","Region Sud Ouest",2019-07-01,"Age_L5",2657
"8","Region Sud Ouest",2019-08-01,"Age_L5",2714
"9","Region Sud Ouest",2019-09-01,"Age_L5",2033
"10","Region Sud Ouest",2019-10-01,"Age_L5",2726
"11","Region Sud Ouest",2019-11-01,"Age_L5",2957
"12","Region Sud Ouest",2019-12-01,"Age_L5",2841
"13","Region Sud Ouest",2020-01-01,"Age_L5",2739
"14","Region Sud Ouest",2020-02-01,"Age_L5",2278
"15","Region Sud Ouest",2020-03-01,"Age_L5",2950
"16","Region Sud Ouest",2020-04-01,"Age_L5",2558
"17","Region Sud Ouest",2020-05-01,"Age_L5",2648
"18","Region Sud Ouest",2020-06-01,"Age_L5",3120
"19","Region Sud Ouest",2020-07-01,"Age_L5",2205
"20","Region Sud Ouest",2020-08-01,"Age_L5",2231
"21","Region Sud Ouest",2020-09-01,"Age_L5",2225
"22","Region Sud Ouest",2020-10-01,"Age_L5",2499
"23","Region Sud Ouest",2020-11-01,"Age_L5",2740
"24","Region Sud Ouest",2020-12-01,"Age_L5",2883
"25","Region Sud Ouest",2021-01-01,"Age_L5",3308
"26","Region Sud Ouest",2021-02-01,"Age_L5",2698
"27","Region Sud Ouest",2021-03-01,"Age_L5",3254
"28","Region Sud Ouest",2021-04-01,"Age_L5",3136
"29","Region Sud Ouest",2021-05-01,"Age_L5",3425
"30","Region Sud Ouest",2021-06-01,"Age_L5",3051
"31","Region Sud Ouest",2021-07-01,"Age_L5",2415
"32","Region Sud Ouest",2021-08-01,"Age_L5",2828
"33","Region Sud Ouest",2021-09-01,"Age_L5",2898
"34","Region Sud Ouest",2021-10-01,"Age_L5",2742
"35","Region Sud Ouest",2021-11-01,"Age_L5",2901
"36","Region Sud Ouest",2021-12-01,"Age_L5",3326
"37","Region Sud Ouest",2019-01-01,"Age_G5",4895
"38","Region Sud Ouest",2019-02-01,"Age_G5",4031
"39","Region Sud Ouest",2019-03-01,"Age_G5",5339
"40","Region Sud Ouest",2019-04-01,"Age_G5",5180
"41","Region Sud Ouest",2019-05-01,"Age_G5",6672
"42","Region Sud Ouest",2019-06-01,"Age_G5",6253
"43","Region Sud Ouest",2019-07-01,"Age_G5",6471
"44","Region Sud Ouest",2019-08-01,"Age_G5",5942
"45","Region Sud Ouest",2019-09-01,"Age_G5",4758
"46","Region Sud Ouest",2019-10-01,"Age_G5",5403
"47","Region Sud Ouest",2019-11-01,"Age_G5",5646
"48","Region Sud Ouest",2019-12-01,"Age_G5",5406
"49","Region Sud Ouest",2020-01-01,"Age_G5",5988
"50","Region Sud Ouest",2020-02-01,"Age_G5",5183
"51","Region Sud Ouest",2020-03-01,"Age_G5",6425
"52","Region Sud Ouest",2020-04-01,"Age_G5",6563
"53","Region Sud Ouest",2020-05-01,"Age_G5",8116
"54","Region Sud Ouest",2020-06-01,"Age_G5",7267
"55","Region Sud Ouest",2020-07-01,"Age_G5",6628
"56","Region Sud Ouest",2020-08-01,"Age_G5",5961
"57","Region Sud Ouest",2020-09-01,"Age_G5",5622
"58","Region Sud Ouest",2020-10-01,"Age_G5",6305
"59","Region Sud Ouest",2020-11-01,"Age_G5",6574
"60","Region Sud Ouest",2020-12-01,"Age_G5",6961
"61","Region Sud Ouest",2021-01-01,"Age_G5",8047
"62","Region Sud Ouest",2021-02-01,"Age_G5",6812
"63","Region Sud Ouest",2021-03-01,"Age_G5",8576
"64","Region Sud Ouest",2021-04-01,"Age_G5",8214
"65","Region Sud Ouest",2021-05-01,"Age_G5",8128
"66","Region Sud Ouest",2021-06-01,"Age_G5",8009
"67","Region Sud Ouest",2021-07-01,"Age_G5",6804
"68","Region Sud Ouest",2021-08-01,"Age_G5",7770
"69","Region Sud Ouest",2021-09-01,"Age_G5",7814
"70","Region Sud Ouest",2021-10-01,"Age_G5",7389
"71","Region Sud Ouest",2021-11-01,"Age_G5",7742
"72","Region Sud Ouest",2021-12-01,"Age_G5",8948
